name,description,price,image,category,inStock,rating
Wireless Bluetooth Headphones,Noise cancelling headphones,3000,https://cdn.thewirecutter.com/wp-content/media/2023/07/bluetoothheadphones-2048px-0876.jpg,Electronics,25,4.8
Smart Fitness Watch,Fitness tracking watch,2500,https://images.pexels.com/photos/437037/pexels-photo-437037.jpeg,Electronics,15,4.6
Premium Cotton T-Shirt,Soft cotton t-shirt,500,https://www.fairindigo.com/cdn/shop/files/BG_OF_04750_Iron_FW25_3950.jpg,Apparel,50,4.4
Modern Desk Lamp,LED desk lamp,400,https://images.pexels.com/photos/1112598/pexels-photo-1112598.jpeg,Home & Garden,30,4.7
Stainless Steel Water Bottle,Insulated water bottle,800,https://images.pexels.com/photos/416528/pexels-photo-416528.jpeg,Outdoors,40,4.5
Smartphone,Premium quality smartphone designed for everyday use,4752,https://picsum.photos/seed/1/400/400,Electronics,70,4.8
Laptop,Premium quality laptop designed for everyday use,796,https://picsum.photos/seed/2/400/400,Electronics,92,3.6
Tablet,Premium quality tablet designed for everyday use,3593,https://picsum.photos/seed/3/400/400,Electronics,7,3.7
Smart TV,Premium quality smart tv designed for everyday use,7071,https://picsum.photos/seed/4/400/400,Electronics,62,3.7
Bluetooth Speaker,Premium quality bluetooth speaker designed for everyday use,388,https://picsum.photos/seed/5/400/400,Electronics,67,4.6
Wireless Earbuds,Premium quality wireless earbuds designed for everyday use,7144,https://picsum.photos/seed/6/400/400,Electronics,28,3.5
Noise Cancelling Headphones,Premium quality noise cancelling headphones designed for everyday use,3012,https://picsum.photos/seed/7/400/400,Electronics,46,4.5
Gaming Console,Premium quality gaming console designed for everyday use,3828,https://picsum.photos/seed/8/400/400,Electronics,44,4.6
Action Camera,Premium quality action camera designed for everyday use,2577,https://picsum.photos/seed/9/400/400,Electronics,74,4.5
DSLR Camera,Premium quality dslr camera designed for everyday use,602,https://picsum.photos/seed/10/400/400,Electronics,55,4.1
Smart Watch,Premium quality smart watch designed for everyday use,4858,https://picsum.photos/seed/11/400/400,Electronics,55,4.0
Fitness Band,Premium quality fitness band designed for everyday use,1130,https://picsum.photos/seed/12/400/400,Electronics,10,3.6
Power Bank,Premium quality power bank designed for everyday use,3816,https://picsum.photos/seed/13/400/400,Electronics,6,4.6
Wireless Charger,Premium quality wireless charger designed for everyday use,4788,https://picsum.photos/seed/14/400/400,Electronics,89,3.7
USB Hub,Premium quality usb hub designed for everyday use,4477,https://picsum.photos/seed/15/400/400,Electronics,41,4.8
Mechanical Keyboard,Premium quality mechanical keyboard designed for everyday use,3535,https://picsum.photos/seed/16/400/400,Electronics,28,3.8
Gaming Mouse,Premium quality gaming mouse designed for everyday use,2383,https://picsum.photos/seed/17/400/400,Electronics,16,4.4
WiFi Router,Premium quality wifi router designed for everyday use,5004,https://picsum.photos/seed/18/400/400,Electronics,35,3.7
Portable SSD,Premium quality portable ssd designed for everyday use,5921,https://picsum.photos/seed/19/400/400,Electronics,35,4.3
External Hard Drive,Premium quality external hard drive designed for everyday use,4555,https://picsum.photos/seed/20/400/400,Electronics,19,4.2
Webcam,Premium quality webcam designed for everyday use,6260,https://picsum.photos/seed/21/400/400,Electronics,99,3.7
Monitor,Premium quality monitor designed for everyday use,1896,https://picsum.photos/seed/22/400/400,Electronics,67,3.9
Graphics Tablet,Premium quality graphics tablet designed for everyday use,7602,https://picsum.photos/seed/23/400/400,Electronics,60,4.2
VR Headset,Premium quality vr headset designed for everyday use,987,https://picsum.photos/seed/24/400/400,Electronics,51,3.7
Projector,Premium quality projector designed for everyday use,3383,https://picsum.photos/seed/25/400/400,Electronics,39,4.1
Soundbar,Premium quality soundbar designed for everyday use,2878,https://picsum.photos/seed/26/400/400,Electronics,22,4.0
Dash Camera,Premium quality dash camera designed for everyday use,1603,https://picsum.photos/seed/27/400/400,Electronics,90,3.7
Home Security Camera,Premium quality home security camera designed for everyday use,7708,https://picsum.photos/seed/28/400/400,Electronics,42,4.7
Smart Door Lock,Premium quality smart door lock designed for everyday use,7074,https://picsum.photos/seed/29/400/400,Electronics,38,4.0
Smart Bulb,Premium quality smart bulb designed for everyday use,2526,https://picsum.photos/seed/30/400/400,Electronics,9,4.0
Air Purifier,Premium quality air purifier designed for everyday use,5140,https://picsum.photos/seed/31/400/400,Electronics,94,3.9
Robot Vacuum,Premium quality robot vacuum designed for everyday use,1797,https://picsum.photos/seed/32/400/400,Electronics,81,3.7
Electric Kettle,Premium quality electric kettle designed for everyday use,5676,https://picsum.photos/seed/33/400/400,Electronics,63,4.9
Induction Cooktop,Premium quality induction cooktop designed for everyday use,5251,https://picsum.photos/seed/34/400/400,Electronics,62,4.3
Microwave Oven,Premium quality microwave oven designed for everyday use,5370,https://picsum.photos/seed/35/400/400,Electronics,79,4.2
Coffee Maker,Premium quality coffee maker designed for everyday use,6343,https://picsum.photos/seed/36/400/400,Electronics,43,3.8
Blender,Premium quality blender designed for everyday use,4630,https://picsum.photos/seed/37/400/400,Electronics,74,3.9
Juicer,Premium quality juicer designed for everyday use,3185,https://picsum.photos/seed/38/400/400,Electronics,10,4.3
Electric Iron,Premium quality electric iron designed for everyday use,6079,https://picsum.photos/seed/39/400/400,Electronics,49,4.3
Hair Dryer,Premium quality hair dryer designed for everyday use,3173,https://picsum.photos/seed/40/400/400,Electronics,44,3.8
